,music,hastag_data,author_follower,author_heart,play
165,Ajarin Muka 2 Dong Mba,brandatiktok,461200,6400000,3300000
166,heather,brandatiktok,76500,1300000,4500000
167,original sound,brandatiktok,459500,4200000,4500000
168,original sound - FIX™ Adam Shawn,brandatiktok,95500,541800,2700000
169,original sound - tiktokIDofficial,yukcaritau,4900000,30400000,10500000
170,Dynamite,yukcaritau,469900,6400000,142100
171,suara asli - ไนเจลตัน | Nigel Tan |,yukcaritau,339600,11900000,318700
172,Quirky,yukcaritau,521700,23800000,592700
173,original sound - Eka Gustiwana,yukcaritau,454800,7000000,275200
174,suara asli - romy,yukcaritau,189800,10400000,730800
175,"Yours (feat. LeeHi, CHANGMO)",yukcaritau,647000,16900000,163200
176,original sound - Tech Tech,yukcaritau,153900,2100000,726800
177,Life Goes On,yukcaritau,335100,6500000,166300
178,LALISA,yukcaritau,231600,4100000,417000
179,Better When I'm Dancin',yukcaritau,356000,4600000,586100
180,LALISA,yukcaritau,2300000,73300000,389400
181,Say So (Instrumental Version) [Originally Performed by Doja Cat],yukcaritau,1500000,58300000,1300000
182,The Creepy Music Box (Psychological Thriller / Horror),yukcaritau,766700,18400000,477000
183,original sound - youtube : Prio Romano,yukcaritau,243900,5200000,95400
184,suara asli - Echa Laksmi,yukcaritau,502900,10400000,1500000
185,STAY,yukcaritau,175400,2300000,393900
186,Married Life,yukcaritau,52200,1600000,514400
187,Squid game X Lalisa,yukcaritau,66600,1400000,168200
188,Horror atmosphere piano & SE.,yukcaritau,766700,18400000,754700
189,Monkeys Spinning Monkeys,yukcaritau,972600,22200000,938200
190,Say So (Instrumental Version) [Originally Performed by Doja Cat],yukcaritau,473800,9300000,330900
191,original sound - masakan.simple,yukcaritau,1900000,22500000,184200
192,Blade Runner 2049,yukcaritau,501300,2700000,799900
193,STAY,yukcaritau,26200,1100000,344300
194,LALISA,yukcaritau,32700,1200000,151800
195,Sunflower - Spider-Man: Into the Spider-Verse,yukcaritau,70800,939400,296100
